#->Timestamp,label,TYPE_ACCELEROMETER-X,TYPE_ACCELEROMETER-Y,TYPE_ACCELEROMETER-Z,TYPE_ORIENTATION2-X,TYPE_ORIENTATION2-Y,TYPE_ORIENTATION2-Z,TYPE_GRAVITY-X,TYPE_GRAVITY-Y,TYPE_GRAVITY-Z,TYPE_GYROSCOPE-X,TYPE_GYROSCOPE-Y,TYPE_GYROSCOPE-Z,TYPE_GYROSCOPE_UNCALIBRATED-X,TYPE_GYROSCOPE_UNCALIBRATED-Y,TYPE_GYROSCOPE_UNCALIBRATED-Z,TYPE_GYROSCOPE_UNCALIBRATED-Xestimated,TYPE_GYROSCOPE_UNCALIBRATED-Yestimated,TYPE_GYROSCOPE_UNCALIBRATED-Zestimated,TYPE_LINEAR_ACCELERATION-X,TYPE_LINEAR_ACCELERATION-Y,TYPE_LINEAR_ACCELERATION-Z,TYPE_MAGNETIC_FIELD_UNCALIBRATED-X,TYPE_MAGNETIC_FIELD_UNCALIBRATED-Y,TYPE_MAGNETIC_FIELD_UNCALIBRATED-Z,TYPE_MAGNETIC_FIELD_UNCALIBRATED-XBias,TYPE_MAGNETIC_FIELD_UNCALIBRATED-YBias,TYPE_MAGNETIC_FIELD_UNCALIBRATED-ZBias,TYPE_MAGNETIC_FIELD-X,TYPE_MAGNETIC_FIELD-Y,TYPE_MAGNETIC_FIELD-Z,TYPE_LIGHT-X,TYPE_PRESSURE-X,TYPE_ROTATION_VECTOR-X,TYPE_ROTATION_VECTOR-Y,TYPE_ROTATION_VECTOR-Z,TYPE_ROTATION_VECTOR-scalarComponent,TYPE_ROTATION_VECTOR-headingAccuracy,TYPE_ORIENTATION-X,TYPE_ORIENTATION-X_trueBearing,TYPE_ORIENTATION-X_trueBearing_normalized,Diff_ORIENTATION-X_trueBearing_GT-Direction,Diff_ORIENTATION-X_trueBearing_GT-Direction_NotAbsolute,Diff_ORIENTATION-X_trueBearing_GT-Direction_normalized,TYPE_ORIENTATION-X_normalized,GT_Direction,GT_Direction_normalized,TYPE_ORIENTATION-Y,TYPE_ORIENTATION-Z,TYPE_PROXIMITY-X,TYPE_GPS-Longitude,TYPE_GPS-Longitude_GT,TYPE_GPS-Latitude,TYPE_GPS-Latitude_GT,TYPE_GPS-Altitude,Diff_GPS_GT_Position,Diff_GPS_GT_LateralDistance,Diff_GPS_GT_LongitudinalDistance,Diff_GPS_GT_LateralDistance_NonAbs,Diff_GPS_GT_LongiDistance,Diff_GPS_GT_LatDistance,Diff_GPS_GT_LongitudinalDistance_NonAbs,TYPE_GPS-Bearing,TYPE_GPS-Bearing_normalized,Diff_GPS-Bearing_GT-Direction,Diff_GPS-Bearing_GT-Direction_NotAbsolute,Diff_GPS-Bearing_GT-Direction_normalized,TYPE_GPS-Speed,GT_Speed,Diff_GPS-Speed_GT-Speed_NotAbsolute,Diff_GPS-Speed_GT-Speed,TYPE_GPS-Accuracy,TYPE_GPS-Time,TYPE_GEOMAGNETIC_FIELD-DECLINATION,TYPE_GEOMAGNETIC_FIELD-FIELD_STRENGTH,TYPE_GEOMAGNETIC_FIELD-HORIZONTAL_STRENGTH,TYPE_GEOMAGNETIC_FIELD-INCLINATION,TYPE_GEOMAGNETIC_FIELD-X,TYPE_GEOMAGNETIC_FIELD-Y,TYPE_GEOMAGNETIC_FIELD-Z
1495545459.144,GO_12078_0,3.2154083,-0.93133545,13.089096,0.08073311,0.06898946,-0.24088554,0.9463043,1.3610992,9.66539,-0.090530396,-0.5645752,-0.5422058,-0.06390381,-0.558197,-0.5347595,0.026626593,0.006378174,0.007446289,2.269104,-2.2924347,3.423706,86.99341,34.742737,-177.92511,100.125,6.893921,-135.12878,-13.131714,27.848816,-42.796326,32767.0,994.13,0.06311035,-0.0566864,-0.123535156,0.98869324,0.0,14.0,16.3479009,16.3479,10.269524,10.269525105754328,10.269524,14.0,6.078375794245671,6.078376,-8.0,5.0,5.000305,9.44967415,9.44966408,51.33853138,51.33851962,246.0,1.484663625882394,1.308355875434182,0.7017341797795447,1.308355875434182,1.3753060521720364,0.5592487985798293,0.7017341797795447,358.8,-1.2000122,7.278388199999999,7.278375794245676,7.278388,1.48,1.2976901366547502,0.1823098633452498,0.1823098633452498,4.0,1495545459000,2.3479009,49104.688,19394.443,66.73645,19378.162,794.5348,45112.37
1495545460.133,GO_12078_0,1.0702057,-0.13166809,11.360474,0.34491765,0.011538419,-0.093927115,0.846344,0.86206055,9.731827,0.31211853,-0.10650635,0.0138549805,0.35046387,-0.10971069,0.0010528564,0.026626593,0.006378174,0.007446289,0.22384644,-0.99372864,1.6286469,83.89282,38.198853,-179.91486,100.125,6.893921,-135.12878,-16.2323,31.304932,-44.78607,32767.0,994.12,0.036392212,-0.04899597,-0.14942932,0.98687744,0.0,17.0,19.3479002,19.3479,13.269524,13.26952440575433,13.269524,17.0,6.078375794245671,6.078376,-4.0,4.0,5.000305,9.44966175,9.44966603,51.33851745,51.33853109,246.0,1.5465467776644404,1.5175148079883687,0.2982545390862728,-1.5175148079883687,-1.5405651189945726,-0.13588994328786422,-0.2982545390862728,358.6,-1.3999939,7.4783699,7.478375794245665,7.4783697,1.2541931,1.2976901366547502,-0.04349703665475024,0.04349703665475024,4.0,1495545460000,2.3479002,49104.688,19394.453,66.736435,19378.172,794.5349,45112.363
1495545461.171,GO_12078_0,1.2090607,0.6392517,9.229645,0.23489656,-0.06856633,-0.13025583,0.5285187,0.7104645,9.766541,0.20878601,-0.2758789,0.067108154,0.46018982,-0.21730042,-0.018096924,0.026626593,0.006378174,0.007446289,0.5283661,0.11117554,-0.9009552,85.443115,39.408875,-181.40717,100.125,6.893921,-135.12878,-14.682007,32.514954,-46.27838,32767.0,994.11,0.030532837,-0.030197144,-0.17041016,0.98443604,0.0,19.0,21.3479002,21.3479,15.269524,15.26952440575433,15.269524,19.0,6.078375794245671,6.078376,-5.0,3.0,5.000305,9.4496622,9.44966808,51.33853679,51.33854313,246.0,0.8157340431738799,0.7053551239255558,0.4097513895312424,-0.7053551239255558,-0.744777680139415,-0.33275855997550424,-0.4097513895312424,6.9,6.9,0.8216240000000008,-0.821624205754329,0.821624,1.8893914,1.2976901366547502,0.5917012633452499,0.5917012633452499,4.0,1495545461000,2.3479002,49104.688,19394.453,66.736435,19378.172,794.5349,45112.363
1495545462.139,GO_12078_0,0.45729065,0.6823425,7.9032593,0.35282397,-0.08598019,-0.05779658,0.6589966,0.4527893,9.773865,0.21943665,-0.22367859,0.5059967,0.24606323,-0.21730042,0.513443,0.026626593,0.006378174,0.007446289,-0.20170593,0.22953796,-1.8706055,84.06525,39.408875,-180.74341,100.125,6.893921,-135.12878,-16.059875,32.514954,-45.614624,32767.0,994.12,0.017074585,-0.036315918,-0.1605835,0.98620605,0.0,18.0,20.3478982,20.347898,14.269522000000002,14.269522405754328,14.269522,18.0,6.078375794245671,6.078376,-2.0,3.0,5.000305,9.44966899,9.44966999,51.33854488,51.33855436,246.0,1.056994663511026,1.0546950447311685,0.06968559799392723,-1.0546950447311685,-1.056144450302391,0.04238655498755779,-0.06968559799392723,7.7,7.7,1.6216240000000006,-1.6216242057543289,1.621624,1.3138112,1.2976901366547502,0.016121063345249764,0.016121063345249764,4.0,1495545462000,2.3478982,49104.695,19394.447,66.73645,19378.166,794.534,45112.375
1495545463.164,GO_12078_0,0.5817871,-0.38067627,8.904022,0.32911137,0.04263646,-0.06524707,0.38964844,-0.1847992,9.797058,0.061782837,-0.12887573,0.50387573,0.34088135,-0.123565674,0.4814911,0.026626593,0.006378174,0.007446289,0.26708984,-0.20709229,-1.6679993,85.96039,41.656494,-180.24597,100.125,6.893921,-135.12878,-14.164734,34.762573,-45.117188,32767.0,994.13,-0.010116577,-0.020065308,-0.15449524,0.98773193,0.0,18.0,20.3479006,20.3479,14.269524,14.269524805754328,14.269524,18.0,6.078375794245671,6.078376,1.0,2.0,5.000305,9.44967831,9.44967201,51.33855532,51.33856624,246.0,1.2917911541486096,1.2149018894366193,0.4390191683457423,-1.2149018894366193,-1.1615844780211084,0.5651954808312644,0.4390191683457423,7.7,7.7,1.6216240000000006,-1.6216242057543289,1.621624,1.3717872,1.2976901366547502,0.07409706334524979,0.07409706334524979,4.0,1495545463000,2.3479006,49104.703,19394.436,66.736465,19378.154,794.53436,45112.387
1495545464.153,GO_12078_0,0.35194397,-1.9656372,11.80101,0.49293494,0.1649779,-0.02981437,0.65270996,-0.046676636,9.784653,-0.23754883,-0.051116943,0.46125793,-0.21092224,-0.04473877,0.46870422,0.026626593,0.006378174,0.007446289,-0.62472534,-1.8333588,1.7293549,85.96039,38.545227,-179.2511,100.125,6.893921,-135.12878,-14.164734,31.651306,-44.122314,32767.0,994.12,-0.010650635,-0.032669067,-0.17948914,0.9831543,0.0,20.0,22.3479006,22.3479,16.269524,16.26952480575433,16.269524,20.0,6.078375794245671,6.078376,0.0,3.0,5.000305,9.44968274,9.44967396,51.33857021,51.33857771,246.0,1.0346923606580238,0.8344106410594596,0.6118392147377382,-0.8344106410594596,-0.764932654397945,0.6967541724596018,0.6118392147377382,10.5,10.5,4.421624,-4.421624205754329,4.421624,1.7235138,1.2976901366547502,0.4258236633452499,0.4258236633452499,4.0,1495545464000,2.3479006,49104.703,19394.436,66.736465,19378.154,794.53436,45112.387
1495545465.153,GO_12078_0,-0.22265625,0.31362915,12.720383,0.5523871,-0.02464687,0.017502109,0.7852936,0.90574646,9.733017,0.029830933,0.269516,0.33450317,0.05645752,0.27589417,0.34194946,0.026626593,0.006378174,0.007446289,-0.8355713,-1.3438873,1.7184296,82.85828,35.087585,-180.24597,100.125,6.893921,-135.12878,-17.266846,28.193665,-45.117188,32767.0,994.14,0.037338257,-0.048538208,-0.19889832,0.97810364,0.0,23.0,25.347902,25.347902,19.269526000000003,19.26952620575433,19.269526,23.0,6.078375794245671,6.078376,-5.0,4.0,5.000305,9.44968526,9.44967593,51.33857487,51.33858931,245.0,1.7330949342428401,1.6065186239623468,0.6501662054141928,-1.6065186239623468,-1.5286414313104253,0.8166232658219927,0.6501662054141928,7.6,7.6,1.521624,-1.5216242057543283,1.521624,0.8260751,1.2976901366547502,-0.47161503665475024,0.47161503665475024,4.0,1495545465000,2.347902,49104.707,19394.434,66.73647,19378.152,794.5347,45112.395
1495545466.149,GO_12078_10,0.52911377,2.6551666,8.722076,0.4246945,-0.29499477,-0.06058949,1.1622314,1.4092865,9.634857,0.36006165,0.4889679,-0.14379883,0.1374054,0.4825592,0.10545349,0.026626593,0.006378174,0.007446289,-0.48406982,1.2621918,0.01121521,81.65283,33.532715,-180.07965,100.125,6.893921,-135.12878,-18.47229,26.638794,-44.950867,32767.0,994.13,0.05908203,-0.06881714,-0.2155304,0.9722748,0.0,25.0,27.3479064,27.347906,21.26953,21.269530605754326,21.26953,25.0,6.078375794245671,6.078376,-8.0,6.0,5.000305,9.44969057,9.4496779,51.33858152,51.33860086,246.0,2.3257709530049517,2.151666912139395,0.8829158240988518,-2.151666912139395,-2.0460793094384453,1.1057894522591223,0.8829158240988518,7.6,7.6,1.521624,-1.5216242057543283,1.521624,0.8221922,1.2913222812901364,-0.46913008129013634,0.46913008129013634,4.0,1495545466000,2.3479064,49104.727,19394.44,66.73647,19378.158,794.53644,45112.414
1495545467.169,GO_12078_10,2.0470276,1.7980347,9.512161,0.14118707,-0.18273276,-0.21196836,0.94584656,0.62397766,9.740799,0.14381409,0.09161377,-0.243927,0.2077179,0.09480286,-0.22583008,0.026626593,0.006378174,0.007446289,1.287323,1.0749817,-0.7353058,84.92584,35.43396,-180.90973,100.125,6.893921,-135.12878,-15.19928,28.54004,-45.780945,30907.0,994.15,0.02192688,-0.05357361,-0.19293213,0.9794922,0.0,22.0,24.347904,24.347904,18.269528,18.269528205754327,18.269527,22.0,6.078375794245671,6.078376,-3.0,5.0,5.000305,9.44966833,9.4496799,51.33860397,51.33861263,245.0,1.2563137566911533,0.9634661587143389,0.8062613339354132,-0.9634661587143389,-1.0434235663197489,-0.6997082526565286,-0.8062613339354132,347.1,-12.899994,18.978369999999998,18.978375794245665,18.97837,1.8764061,1.2913222812901364,0.5850838187098637,0.5850838187098637,4.0,1495545467000,2.347904,49104.71,19394.418,66.736496,19378.137,794.5347,45112.406
1495545468.219,GO_12078_10,0.05984497,1.2282104,6.5960236,0.36968142,-0.18408893,-0.009072637,1.1460724,0.48182678,9.727478,0.35899353,0.20240784,-0.3600464,0.2599182,0.17895508,-0.29933167,0.026626593,0.006378174,0.007446289,-1.020813,1.0435638,-2.617752,84.410095,35.95276,-177.75879,100.125,6.893921,-135.12878,-15.715027,29.058838,-42.630005,32767.0,994.15,0.020111084,-0.0572052,-0.19389343,0.97914124,0.0,22.0,24.3478959,24.347897,18.269521,18.26952010575433,18.269522,22.0,6.078375794245671,6.078376,-3.0,5.0,5.000305,9.44965899,9.44968196,51.33860976,51.33862475,246.0,2.3115828052719776,1.6677087475473145,1.6006759303930018,-1.6677087475473145,-1.8278264864955753,-1.415085239853266,-1.6006759303930018,7.3,7.3,1.2216240000000003,-1.2216242057543285,1.221624,1.1401755,1.2913222812901364,-0.15114678129013637,0.15114678129013637,4.0,1495545468000,2.3478959,49104.727,19394.404,66.73652,19378.123,794.53143,45112.426
